"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"9616696369217536","","","","","2010-11-30 14:36:13 +0000","<a href=""http://www.twittad.com"" rel=""nofollow"">Twittad</a>","Cyber Monday may be over, but check out more deals at gordilla.com! http://spon.in/r6"
"9291251702566912","","","","","2010-11-29 17:03:01 +0000","<a href=""http://plixi.com"" rel=""nofollow"">Plixi</a>","http://plixi.com/p/59942934 @Robson_N holy crap"
"9247535499575296","","1692901","","","2010-11-29 14:09:18 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@The_PHP_Jedi good luck!"
"9238066514366465","","","","","2010-11-29 13:31:41 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","25 Txt tweets to my phone when I woke up at 6 this morning. @brandice  @jacksonps4 and @Robson_N  are busy while I sleep"
"9024481272008704","","","","","2010-11-28 23:22:58 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","Jealous! RT @Falcore000 15 minutes to show time for the world premier of Spider-Man Turn Off the Dark!!!! http://yfrog.com/0b765vtj"
"8344530587750400","","","","","2010-11-27 02:21:05 +0000","<a href=""http://getglue.com"" rel=""nofollow"">GetGlue.com</a>","I earned the Check-in Rookie sticker on @GetGlue! http://bit.ly/etrD35"
"8335560875704320","8334840185229312","17870251","","","2010-11-27 01:45:27 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@johnbender sweet"
"8323875091775488","","17870251","","","2010-11-27 00:59:01 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@johnbender nice. Nap and I are heading out in a few weeks for training if you are around in the evening"
"8309123783335936","","7274972","","","2010-11-27 00:00:24 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@bingopajamas @amtrak  is stupidly expensive!"
"8304515371499521","","17870251","","","2010-11-26 23:42:05 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@johnbender are you still in LA?"
"8304193903263744","","14413075","","","2010-11-26 23:40:48 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@alexalbrecht bigger tvs are always bettwr"
"8303621917646848","","8938812","","","2010-11-26 23:38:32 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@duckumu @bingopajamas  is looking over my shoulder and jealous of all that yarn"
"8301601303306240","","777781","","","2010-11-26 23:30:30 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@werty interesting. We tried traviata on 68th. Fantastic"
"8184714410070016","","17870251","","","2010-11-26 15:46:02 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@johnbender np. Check out Bestbuy. They had redic android deals this week."
"8151577441341440","","17870251","","","2010-11-26 13:34:22 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@johnbender unless you don't mind the size of the X get the incredible. If you want to play with rooting don't get X"
"7853965756604416","","","","","2010-11-25 17:51:46 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","Happy Thanksgiving all! Coding on the train"
"7800936999165952","7653927415709696","26572401","","","2010-11-25 14:21:02 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@cajunmericle you were UWS?"
"7799653340811264","","","","","2010-11-25 14:15:56 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","First time seeing the floats in person in 22 years (@ Macy's Thanksgiving Day Parade w/ @bingopajamas) http://4sq.com/cX90vp"
"7639050542387200","","8938812","","","2010-11-25 03:37:46 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@duckumu thanks. @bingopajamas  likes those places actually. Went with pizza though"
"7591608904065024","","777781","","","2010-11-25 00:29:15 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@werty  what's the name of that pizza place you love in the 60s?"
"7589607218618371","","","","","2010-11-25 00:21:18 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","HP7. First time in the mezzanine (@ AMC Loews Lincoln Square 13 w/ @bingopajamas) http://4sq.com/3nJ8aV"
"7579346311057408","","","","","2010-11-24 23:40:31 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","With @bingopajamas and @skotteyinspace (@ Macy's Parade Balloon Inflation w/ 290 others) http://4sq.com/ajc4qc"
"7135047375134720","7118297409519617","14530593","","","2010-11-23 18:15:02 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@plater hahahahahaha"
"6870023293370368","","","","","2010-11-23 00:41:55 +0000","<a href=""http://getglue.com"" rel=""nofollow"">GetGlue.com</a>","I love how there is a boondock saint in this.... and he has a crossbow #TheWalkingDead (via @GetGlue) http://bit.ly/hSCNI9"
"6743342213767168","6740919629905921","14271639","","","2010-11-22 16:18:32 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@FirstAidKit nice! coming up on the 4th for the party?"
"6719703074476032","6717570824544256","99723","","","2010-11-22 14:44:36 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@dacort sick. I haven't done anything process intensive with it yet. just some veeeeery flexible modeling"
"6717681344446464","6695702314881025","110859134","","","2010-11-22 14:36:34 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@whole9life in the air? nice"
"6717611387650050","6702856501460992","14271639","","","2010-11-22 14:36:18 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@FirstAidKit there is a GREAT burger place there.  where are you stationed now?"
"6717482014343168","6713938146238464","99723","","","2010-11-22 14:35:47 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@dacort &lt;3 mongo"
"6717423575105536","6714069180485634","36422658","","","2010-11-22 14:35:33 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@chipst4r nice"
"6713034458275841","6712860281413632","36422658","","","2010-11-22 14:18:06 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@chipst4r nice. going to see it on Wed"
"6711901614510080","","","","","2010-11-22 14:13:36 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","The holidays are getting an early start at #aiaio! Thanks Katie! http://yfrog.com/61eotcj"
"6110433018650624","","36422658","","","2010-11-20 22:23:35 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@chipst4r On the computer or the real game?"
"5698387596804096","5668989405495298","14244321","","","2010-11-19 19:06:16 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@johnkalish its down, something wrong with the server, hoping to look at it this weekend"
"5698298119725056","5696216612474880","19374881","","","2010-11-19 19:05:54 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@jacksonps4 excellent!"
"5629970151903232","","7274972","","","2010-11-19 14:34:24 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@bingopajamas I just bid on something on ebay for over $50k. we have room right? http://screencast.com/t/MYnMZJIXx"
"5257274675175424","5081723217911808","14630261","","","2010-11-18 13:53:26 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@awienick nice"
"5256362468573184","","589903","","","2010-11-18 13:49:49 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@brandice what can you tweak with redsnow?"
"5081054964621313","","99723","","","2010-11-18 02:13:12 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@dacort excellent!"
"5081008848244736","","14630261","","","2010-11-18 02:13:01 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@awienick yeah thanks. I need a few hours to dig into it. Work coding been consuming my life"
"5080722431803392","5073079503953920","99723","","","2010-11-18 02:11:53 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@dacort they stealing all ur tricks?"
"5080619650392064","","","5073079503953920","99723","2010-11-18 02:11:28 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","RT @dacort: Thar she blows, screens of Twitter's analytics dashboard. http://lnkby.me/tj"
"5080344600510464","","589903","","","2010-11-18 02:10:23 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@brandice yeah! Pixel Qi!"
"5071063939551232","","589903","","","2010-11-18 01:33:30 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@brandice nah. I'm on the early adopter list for Adam"
"5067242106519552","","589903","","","2010-11-18 01:18:19 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@brandice oh actually fell in love with the ipad over the weekend"
"5063757822693376","","589903","","","2010-11-18 01:04:28 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@brandice #android"
"4909845434073088","","","","","2010-11-17 14:52:53 +0000","<a href=""http://bitly.com"" rel=""nofollow"">bitly</a>","SQUEEEEEEE green lantern trailer!! http://bit.ly/bYAINh"
"4897497575067648","","19374881","","","2010-11-17 14:03:49 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@jacksonps4 can it hide retweets?"
"4897294914686977","","14630261","","","2010-11-17 14:03:00 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@awienick it's down. Out of memory. Need to look into"
"4682672429334528","","","4679329325780992","188400616","2010-11-16 23:50:10 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","RT @skyraider37: Start your car, pay for lunch or unlock your hotel room with your android phone. What will they think of next? http://b ..."
"4598258705891328","","","","","2010-11-16 18:14:44 +0000","<a href=""http://bitly.com"" rel=""nofollow"">bitly</a>","The Fab Four go digital; The Beatles? catalog now available on iTunes http://bit.ly/cdSmez"
"4548901629599744","4327409511825408","14271639","","","2010-11-16 14:58:37 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@FirstAidKit YAY BOMBERS!"
"4548869077598209","4169910770999296","14530593","","","2010-11-16 14:58:29 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@plater NOD32 on that page"
"4548814337740800","4169910770999296","14530593","","","2010-11-16 14:58:16 +0000","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","@plater we use this, seems to to a good job and doesn't get in the way/slow things down http://www.eset.com/"
"4182249985540096","","","","","2010-11-15 14:41:40 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Check this video out -- Green Lantern Pre-Preview http://t.co/VHZGNrM via @youtube","http://www.youtube.com/watch?v=RrBwKMxhtXQ&feature=share"
"3934745691955200","","14271639","","","2010-11-14 22:18:11 +0000","<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd (original)</a>","@FirstAidKit love bombers. What was going through your head"
