"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"131182375156715520","131164324872990720","20249175","","","2011-11-01 01:34:50 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@Falcore000 that's a penguin?"
"131153991684984832","","","","","2011-10-31 23:42:03 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","The Sharebros Are Building a Google Reader Replacement - Technology - The Atlantic Wire http://t.co/g4UyfifX","http://www.theatlanticwire.com/technology/2011/10/sharebros-are-building-google-reader-replacement/44307/"
"131022354422833152","130796956204281856","6490602","","","2011-10-31 14:58:58 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@rmurphey the two things that stand out from when I was working in London are going up in the eye and curry on brick lane"
"131020693142896641","131003644131807232","8938812","","","2011-10-31 14:52:22 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@duckumu @cajunmericle me too actually. I was worried!"
"130670926227451905","","","130669565788168192","66381461","2011-10-30 15:42:31 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @INGNYCMarathon: Who's going to score a sweet pair of Yurbuds from @NissanLEAF today?? Tweet @ingnycmarathon if you love free swag!"
"130651319122927616","","","129284508087357440","43301668","2011-10-30 14:24:36 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @jaimeohm: Coders are special. ""We are expected to know how to do things we've never done before and estimate how long they will take ..."
"130311341964660736","","","130261208296206336","7274972","2011-10-29 15:53:39 +0000","web","RT @bingopajamas: @INGNYCMarathon @nyrr the interactive marathon map has been broken for a while now... can't see route or any points ht ..."
"130304842731237376","","","","","2011-10-29 15:27:50 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","a little pre-halloween snow in NYC"
"130262996676120576","130109108614471680","8938812","","","2011-10-29 12:41:33 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@duckumu thats awesome man. good luck on the 1RM"
"130117358642667520","","","","","2011-10-29 03:02:50 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Watch me run The ING New York Marathon Live! Get the app: http://t.co/qYgQW5in #ingnycm","http://mmf.cc/nycm2011"
"129661504281788416","129570739891347457","18179447","","","2011-10-27 20:51:26 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@valueof what time are you going to bed? check this out http://t.co/qcVvjNXP","http://lifehac.kr/vWHGvv"
"129660034887065600","","","","","2011-10-27 20:45:35 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","hey @INGNYCMarathon @nyrr the interactive marathon map has been broken for a while now... can't see route or any points http://t.co/0HRftVKf","http://j.mp/pfafCz"
"129575522945613824","129550480580947968","6490602","","","2011-10-27 15:09:46 +0000","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@rmurphey but sharepoint is so 1337! #sarcasm"
"128828503557812224","","","128640537854095362","188400616","2011-10-25 13:41:23 +0000","web","RT @skyraider37: Scary how true this is
http://t.co/OyNQll54","http://twitpic.com/75co15/full"
